Title,Year,Certificate,Duration,Genre,Rating,Metascore,Director,Cast,Votes,Description,Review Count,Review Title,Review,Poster
Despicable Me 2,2014.0,U,98.0,"Animation, Adventure, Comedy",7.3,62.0,Pierre Coffin,"Chris Renaud, Steve Carell, Kristen Wiig, Benjamin Bratt, Miranda Cosgrove","426,717","When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, he has to fight back with new gadgetry, cars, and more minion madness.",268,Loved It!!!,"In all honesty I can't remember the first film that well, so I found it hard to compare to the sequel. On the other hand this film is completely memorable and so enjoyable.I saw the preview and I absolutely loved it. I was worried that all the good bits were in the adverts but the film was full of exciting and hilarious parts that aren't in the advert. The minions are so funny, I was actually crying with laughter at some parts. In fact, I enjoyed it so much I am taking my little brother to see it again (mainly so I can see it again! Hehe) The characters are lovable, hate able, and hilarious, the film has evolved from the first one (from what I can remember) and its such a heart warming family film.I COMPLETELY Recommend THIS FILM :)","https://m.media-amazon.com/images/M/MV5BMTQxNzY1MjI5NF5BMl5BanBnXkFtZTcwNTI0MDY1OQ@@._V1_UX140_CR0,0,140,209_AL_.jpg"
Flashdance,2014.0,UA,95.0,"Drama, Music, Romance",6.2,39.0,Adrian Lyne,"Jennifer Beals, Michael Nouri, Lilia Skala, Sunny Johnson","59,683","An 18-year-old female amateur dancer who performs nightly at a dancing bar, and works as a welder during the day, dreams of joining the Pittsburgh ballet school.",147,A surprisingly charming film!,"So here's this movie ""Flashdance"" which has been staring me in the face for years, both in pop culture for over half of my life and on the video rental store shelves, and yet I've never gotten around to checking it out until now.I was fifteen when this movie was first out and popular. I heard the soundtrack, of course, and loved it to pieces... but I had never been able to watch the movie because it was rated R.I had grown up having it be, in an odd sort of way, both a part of my life and at the same time *not* a part of my life. I was familiar with its music, images, and even its basic plot outline, but had never seen the movie.And as an adult, I felt extremely dubious about checking it out. Over the years, I had heard that people either loved it to pieces or hated it. I've heard critics both call it uplifting and fun while others called it nothing more than a string of glittering little music videos strung together on an extremely thin strand of plot (a creation device for a LOT of MTV-era movies such as ""Top Gun"", ""Footloose"" and ""Purple Rain"").To add to my confusion about whether or not I should give it a try, I had had the same experience with ""Saturday Night Fever"": I grew up loving the soundtrack to pieces but having never seen the movie... and when I finally did I felt utter disappointment at first, discovering the film to be far darker than expected. Oh sure, I later liked ""Fever"" okay (actually, I should use the term ""appreciated"") but still preferred the gorgeous soundtrack to the actual film that was the basis for its existance.Would I have the same experience with ""Flashdance""?Tonight, I finally decided to, as one character in the film puts it, ""hold my breath and take the plunge"".As it turns out, I found it to be a surprisingly charming, entertaining and uplifting film. I was fearing it to be something raunchy, but at it turns out it has a very special, starry-eyed sweet innocence that is difficult to define.The performance of the equally starry-eyed and innocent Jennifer Beals helps, of course. She brings a wide-eyed sparkle and hopefulness to her role, plus a determination to keep her life on the right track precisely as she feels it ought to go without any major morality screwups, and this adds a wonderful flavour of hope and childlike wonder to her character Alex that just simply grows on you.Now, it IS true that there are a few flaws here and there, and a couple of editing flaws as well. Plus, the other characters aren't really as developed as hers (but they are developed just enough to demonstrate to her personally the various dos and don'ts regarding attitudes to have while pursuing a dream, voices for her to observe and learn from representing both directions). But none of that matters because the film has a charm all its own. Looking at it today, I can easily see why so many out there loved it: its a beautiful and very encouraging little film. It has a heroine whom anybody could relate with and like; it has wonderful music in it; it has a delicate and lighthearted touch to it which, language and a couple of scenes aside (such as the film's most heartbreaking scene in which Alex saves a desperate friend from throwing life away in a strip joint (a sequence which only lasts about two minutes long--but it's sad and disturbing, not ""Oooh, let's put this in to grab male members of the audience!""--which is most likely the only ingredient to earn the film its R rating)), is nevertheless still so pure and true that it could have come straight out of a '70s-made Walt Disney Productions movie (!!!); it's touching and moving... and, of course, it has dance sequences which are fun to watch.In other words, it was a comforting and uplifting movie released during a time when people, youngsters with career goals in particular, needed one. And if anything, folks still need movies like that out today. It's a happy little film with a happy ending which isn't overdone or unconvincing, and precisely the sort of flick which should be perscribed to those suffering severe depression. Heaven knows that I myself certainly felt encouraged about my own career and life in particular after watching it!It might not be for everybody, but if the above description I've written voices the sort of movie you personally enjoy then do yourself a big favour and give it a try. Chances are that if you are as naturally starry-eyed and hopeful as Alex is--and believe me, *I* certainly am--then you will easily relate to this delightful little fable.","https://m.media-amazon.com/images/M/MV5BZTc4YzhkYWUtMTM1My00MTkxLTg5ZjktOWE3YTIyNmM0OWYzXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_UX140_CR0,0,140,209_AL_.jpg"
Double Jeopardy,2014.0,A,105.0,"Crime, Drama, Mystery",6.5,41.0,Bruce Beresford,"Ashley Judd, Tommy Lee Jones, Bruce Greenwood, Benjamin Weir","96,064","A woman framed for her husband's murder suspects he is still alive; as she has already been tried for the crime, she can't be re-prosecuted if she finds and kills him.",344,"DON'T CARE WHAT THE CRITICS SAY, IT WAS VERY ENTERTAINING","If you listen to the critics who knows where we would be.  Iignored the comments that this was another Fugitive only a female version, but found the movie fast paced and well acted by Tommy Lee Jones and Ashley Judd, as well as the whole cast.  I liked the story line and it was exciting and the time just flew by. Go see it you will enjoy it!!!!","https://m.media-amazon.com/images/M/MV5BM2UzNzYzMjctYmI0MS00MzQ3LTliMTktOTA1MGU0YTM3NzRjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY209_CR6,0,140,209_AL_.jpg"
The Waterboy,2014.0,U,90.0,"Comedy, Sport",6.1,41.0,Frank Coraci,"Adam Sandler, Kathy Bates, Henry Winkler, Fairuza Balk","178,720",A waterboy for a college football team discovers he has a unique tackling ability and becomes a member of the team.,340,Revenge Of The Cajun Nerd,"I have to admit: this Adam Sandler no-brainer is hilarious, just had me laughing right from the start. I'd rank it in my top ten funny movies of my collection and it features one of my favorite characters in film: Bobby Boucher Jr., a heckuva lot nicer guy than Sandler's ""Happy Gilmore."" ""Bobby"" is about as innocent and a gentle-natured a guy as you'll find this side of Forrest Gump. You can't help but root for him, and that's the idea. What the film basically involves is another ""Revenge Of The Nerds"" theme except it's ""nerd ""- singular - as the picked-on waterboy turning the tables on the football jocks. Interesting to once again see Jerry Reed, whom I haven't seen much of since his days in ""Smokey And The Bandit."" He has much fatter face but everything else looked the same. Then there is Henry Winkler, ""The Fonz"" who now is the opposite: a guy with a terrible inferiority complex. All the characters in here are wildly exaggerated.This cartoon-like comedy may not be high-brow, but so what? It's not totally low- brow either, but I do wonder why modern filmmakers cannot seem to make a comedy without all the sex references and the profanity. Nonetheless, Sandler's Cajun accent, his strange-looking-but pretty girlfriend (Fairuza Balk) and crazy mother (Kathy Bates, in the funniest role she's ever played) are all great fun to watch.It's silly, particularly the ridiculous climactic football game, but then this movie is hardly to be taken seriously. It's all absurd humor, and 90 minutes was just right amount of time for it.","https://m.media-amazon.com/images/M/MV5BNzJmZDZlMGItZGJhOC00Y2NjLTljNzctMDg5YmQ1NzU3NzYzL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX140_CR0,0,140,209_AL_.jpg"
Terminator Genisys,2014.0,UA,126.0,"Action, Adventure, Sci-Fi",6.3,38.0,Alan Taylor,"Arnold Schwarzenegger, Jason Clarke, Emilia Clarke, Jai Courtney","292,860","When John Connor, leader of the human resistance, sends Sgt. Kyle Reese back to 1984 to protect Sarah Connor and safeguard the future, an unexpected turn of events creates a fractured timeline.",809,Should I be ashamed for LOVING THIS!,"I am a massive Terminator 1 and 2 fan, I disliked 3 and 4 a lot and I really thought this would be terrible as well! However I turned out to be wrong! Dead Wrong! This film has the best Arnold character of them all! He is the most 'human' towards Sarah and I really loved that connection, I can see many people liking it also. It was reminiscent of John Connor and Arnold from T2 which I just saw today... I remember seeing the first trailer and having many problems. I thought the story line was too complicated and wasn't respectful of the older films and I thought the visuals were bad. I was wrong in both cases. The story pays massive respect to James Camerons first two classics! And it wasn't complicated for me. It was a fun story and kept my eyes on the screen. Also the visuals... wow the visuals... I know people said that we will never be shocked again by visuals like we were in T2 and the first Jurassic Park! But the young T800 looks too good to ignore. Wow! The best animation I've ever seen, I can't see the difference between him and the real one. This is a fun, humorous, emotional action flick that shouldn't be ignored! I loved it! And you know what, I'm not ashamed! Alan Taylor deserves praise! P.S. I love the soundtrack, I hand it to Lorne Balfe who I know makes great soundtracks from Assassins creed!","https://m.media-amazon.com/images/M/MV5BMjM1NTc0NzE4OF5BMl5BanBnXkFtZTgwNDkyNjQ1NTE@._V1_UX140_CR0,0,140,209_AL_.jpg"
Nymphomaniac: Vol. II,2014.0,Not Rated,124.0,Drama,6.6,60.0,Lars von Trier,"Charlotte Gainsbourg, Stellan Skarsg̴rd, Willem Dafoe, Jamie Bell","98,284","The continuation of Joe's sexually dictated life delves into the darker aspects of her adulthood, obsessions and what led to her being in Seligman's care.",118,"If you like films, hate this.","If you like shocking films, then you will love the rating of this film, 
 as the only truly shocking thing here is how on earth it has achieved a 
 score of over 7/10.
 
 This is the sort of rating that makes you think that the human race is 
 genuinely a lost cause. That devolution is no longer a theory, but a 
 reality.
 
 What would be useful is to see an 'average age of user review' 
 alongside this score. If it is above 14, then I wish to play no further 
 part in this world.","https://m.media-amazon.com/images/M/MV5BODU2OTljNGYtNjIwMC00ZWIwLWE1NTEtNTk1ZDM5YWI5NzU2XkEyXkFqcGdeQXVyMjQ2MTk1OTE@._V1_UY209_CR0,0,140,209_AL_.jpg"
Gojira,2014.0,U,96.0,"Horror, Sci-Fi",7.5,79.0,Ishir̫ Honda,"Takashi Shimura, Akihiko Hirata, Akira Takarada, Momoko K̫chi","39,930","After a dinosaur-like beast - awoken from undersea hibernation by atom bomb testing - ravages Tokyo, a scientist must decide if his similarly dangerous weapon should be used to destroy it.",230,Crushes its sequels like Godzilla crushes Tokyo!,"The original, Japanese version of ""Gojira"" is the best giant monster film I've ever seen. Some fans get carried away and call it one of the best movies ever made; I wouldn't go quite that far, but it's damn good.This film is quite different from the 20+ sequels that followed. Here, Godzilla is not so much a creature as he is a walking incarnation of the atomic bomb. His death ray, which became a rather amusing cartoon laser blast in later films, is here depicted as a sort of radioactive mist that sets its victims on fire. These ""radioactive horror"" images still resonate today - and imagine the impact they must've had on Japanese audiences fifty years ago.From a production standpoint, the film holds up well. Godzilla's costume is much more convincing than the silly monkey suits that featured in the 60s and 70s Toho films, and due to the grayscale photography, the model cityscapes look convincing in most shots - or at least respectable. Ifkube's music score is stirring (you know it has to be good, as they kept recycling it in later movies), and director Honda makes great use of camera angles and imaginative special effects to give Godzilla a genuine aura of menace. For once, the human characters don't let the side down. There's a compelling love triangle, and a dramatic sacrifice made at the end of the film that adds enormously to its emotional impact. The American version (""Godzilla: King of the Monsters"") cut out much of the character development, and is thus clearly inferior; but never fear, Rialto is apparently releasing ""Gojira,"" in all its original glory, sometime this year (2004).In the later Godzilla films, the destruction he causes is almost incidental. Here, it's the whole point - he's a force of nature. Impressive.","https://m.media-amazon.com/images/M/MV5BYzI2ZWUwMWYtOGRjMC00YjNiLTg5MTktZDU0NDk5MjY4Zjc2XkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_UX140_CR0,0,140,209_AL_.jpg"
The Longest Yard,2014.0,UA,113.0,"Comedy, Crime, Sport",6.4,48.0,Peter Segal,"Adam Sandler, Burt Reynolds, Chris Rock, Nelly","195,445",Prison inmates form a football team to challenge the prison guards.,293,Take it for a stand alone movie..,"Don't compare today's comedy version of ""The Longest Yard"" to the old with Burt Reynolds. Today's is good and effective for what it is, a comedy film with a bit of action interlaced. So many classic Hollywood films were so good, that any attempt at a remake is just going to fall flat on its face. The Longest Yard with Adam Sandler is more of today's take on the story if you asked me. It has humor, and is Sandler at his best with Chris Rock playing his role well too. Critics and classic moviegoers beware. Unless you are open-minded, you will never find the hidden treasures of the movie world. It's a football comedy, plain and simple.","https://m.media-amazon.com/images/M/MV5BMTc1NTQyNDk2NV5BMl5BanBnXkFtZTcwOTE2OTQzMw@@._V1_UY209_CR0,0,140,209_AL_.jpg"
Wayne's World,2014.0,U,94.0,"Comedy, Music",7.0,57.0,Penelope Spheeris,"Mike Myers, Dana Carvey, Rob Lowe, Tia Carrere","171,174",Two slacker friends try to promote their public-access cable show.,196,I laughed my head off! Funniest film of the early 90's,"Wayne's World is a silly yet utterly hilarious look at two dimwits (based on they're SNL skit Mike Myers and Dana Carvey) who have their own public access TV show called ""Waynes World"".  The story thickens to a nice touch with Rob Lowe as a big time hot-shot who wants to bring their show to big heights.  Tia Carrere has never been hotter as the woman who Wayne wants and ""we'll be mine"".  Many sight gags, many good lines, and probably all quotable, this movie (like Myers' Austin Powers) belongs in a place in comedy film history.  A++","https://m.media-amazon.com/images/M/MV5BMDAyNDY3MjUtYmJjYS00Zjc5LTlhM2MtNzgzYjNlOWVkZjkzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY209_CR0,0,140,209_AL_.jpg"
Weird: The Al Yankovic Story,2014.0,,108.0,"Biography, Comedy, Crime",6.9,70.0,Eric Appel,"Diedrich Bader, Daniel Radcliffe, Lin-Manuel Miranda, Richard Aaron Anderson","38,763","Explores every facet of Yankovic's life, from his meteoric rise to fame with early hits like 'Eat It' and 'Like a Surgeon' to his torrid celebrity love affairs and famously depraved lifestyle.",226,I swear to God this is the movie of the year,"I just finished watching and I am actually blown away. Having it written as a parody is just absolutely genius. This is hands down the best biopic I have ever seen. Not only is this my favorite film of the year, it might now be one of my top favorite films of all time. And the ending is definitely one of my favorite endings of all time. I literally laughed through the entire credits. Even though the film was a parody in a way, the actors still did a fantastic job. Daniel killed it and deserves an award. I thought Evan Rachel Wood was amazing as Madonna. Rainn Wilson was hilarious as Dr. Demento. Love you and thank you Weird Al! Keep being weird everyone!","https://m.media-amazon.com/images/M/MV5BOWRiNmI1OTItYjc0Zi00YTYwLWI4OTEtMmE0YTNlODJkOTQwXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX140_CR0,0,140,209_AL_.jpg"
