"Title","Year","Certificate","Duration","Genre","Rating","Metascore","Director","Cast","Votes","Description","Review Count","Review Title","Review","Poster"
"Jennifer's Body","2021.0","A","102.0","Comedy, Horror","5.5","47.0","Karyn Kusama","Megan Fox, Amanda Seyfried, Adam Brody, Johnny Simmons","151,643","A newly-possessed high-school cheerleader turns into a succubus who specializes in killing her male classmates. Can her best friend put an end to the horror?","329","Am I the only one?","Am I the only one that thinks Diablo Cody is a terrible writer? Though I did enjoy it, Juno was extremely overrated, and this piece of crap cements it for me. I hate Diablo Cody as a writer. Her contrivance and witty attempt at being hip and relevant just doesn't fly. I will give her credit for trying to look at dialog from left of center, but people don't talk like that....well except maybe Diablo Cody. But I didn't go to see a movie full of Diablo Cody's, I went to see a movie with moving characters you care for. If they die, I should care, which I didn't. and the ""twist"" ending made the Happening look like Citizen Cane, and I'm talking in this day and age where my future unborn children already know what rosebud is. It is still more of a reveal than this movie. It was a shame because there were same great actors in this movie and Megan Fox. Though I will give both Cody and Fox credit, because she actually fit the dialog well, but it doesn't make me hate it less. I found myself bored, and bored in a horror movie is unacceptable. I've seen some awful horror movies too, but never have I been this bored. I gave this movie 3 stars, one for Amanda Seifried, one for the (in my opinion) under appreciated Kyle Gallner, and one for the few interesting shots throughout the movie. Notice NONE for Diablo Cody!","https://m.media-amazon.com/images/M/MV5BMTMxNzYwMjc1Ml5BMl5BanBnXkFtZTcwNDI3MDE3Mg@@._V1_UY209_CR0,0,140,209_AL_.jpg"
"Once Upon a Time in the West","2021.0","U","166.0","Drama, Western","8.5","82.0","Sergio Leone","Henry Fonda, Charles Bronson, Claudia Cardinale, Jason Robards","349,574","A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.","725","No western has ever come close to this one....and no western ever will.","I can't quite find the words to even come close to describing the pure brilliance of this movie. When this movie was made, the western genre was dominated by the big hollywood studios. The western was taken by these studios and transformed into an opportunity to portray classic superheroes like John Wayne and Burt Lancaster in their fight against all sorts of smalltime crooks and outlaws in smalltime stories and smalltime towns. It was a genuine effort to portray 'Americanism', the American Way, along with a romanticised view of the west as 'Frontier country' where good always triumphed over bad and where the life was hard but honest. It was the American Way.And then came this film. The title, 'Once Upon A Time In The West' must have seemed to mean nothing more than 'just another western' to the unexpecting viewers at the time. Oh boy were they wrong. With this movie, Sergio Leone singlehandedly redefined the western genre and no American western would ever match the brilliant spirit in which it was made. While the story is basically the same as in any other western, it is the WAY in which it is presented that so clearly distances this western from others. Whereas other westerns are simply stories that are designed to entertain, this movie is an emotional masterpiece that will move your heart. Sergio Leone takes the ordinary western and replaces words with looks, and conversations with feelings and emotions. With his brutal but honest portrayal of the sheer hardness of life and death in those times he thoroughly destroys the old romantic idea of the west as a 'generally-hunky-dory-kind-of-scene with the occasional bad guy and indian' and replaces it with an eerie, dark, hot and dry place where life is cheap and only the strongest will survive.I cannot adequately convey in words the way in which Sergio Leone deepens and defines the characters by pure means of visual persuasion. It starts with the three gunman in the beginning of the movie, waiting for some reason at a train station for someone or something that obviously is going to be on the next train. No explanation, no conversation; not a word is said. Even the stationmaster is ushered into captivity without a single audible threat. Then comes the waiting... Any other director would have skipped directly to the moment of arrival, but Sergio Leone takes minutes of boredom and translates it into a visual feast, deepening the characters that are portrayed and making them more human, more real to the viewer, while at the same time encompassing us with a deep dark sense of foreboding. This way in which the story is not just augmented but in times completely replaced by the sheer visual drama, is perfected by the absolute fantastic music, directed by Ennio Morricone. Who needs words and explanations when the combined forces of cinematic mastery and heart-tearing music are not just able to carry the story, but pick it up and push it up to such heights of excellence that it has no equal in it's genre?Another great feat that adds to the power of this movie is the minimalistic way of portrayal of the characters as real, emotional people. Not a single word is said that isn't required for the understanding of the story, yet the characters feel more true than those in movies where whole conversations are added merely to explain their motives. Instead of words, the camera focuses on the characters...so that you can simply read the emotion off their faces. Often no explanation is given other than than a mere facial expression. No superheroes or supercriminals, just real, desire-laden, traumatised, obsessed people that act upon motives inherently understood by the viewer.All in all this is without a single doubt in my mind the greatest western of all times, and even though Sergio Leone has made many more mindblowing, heart-shattering westerns like this one, like 'A Fistful of Dynamite', 'The Good The Bad and The Ugly', and 'For a Few Dollars More', none could equal 'Once Upon A Time In The West' in sheer magnitude of perfection. Western has never been the same since....I only wish I'd have been there in 1969 when the movie was new and see it, for the first time with fresh innocent eyes and an unexpecting mind..just like 2001: A Space Odyssey (also of 1969, a year of legends).A tip for those who have never seen this movie: Bribe, beg, borrow, or steal yourself into possession of a Videobeam and Hifi-audio equipment if you can't find a cinema that is showing this movie. Turn the audio up WAY HIGH (never mind the neighbors) and prepare never to be the same again.........I (obviously) gave this movie a 10 because no matter how hard I try I can't find anything less than perfect about it.","https://m.media-amazon.com/images/M/MV5BODQ3NDExOGYtMzI3Mi00NWRlLTkwNjAtNjc4MDgzZGJiZTA1XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX140_CR0,0,140,209_AL_.jpg"
"Spoorloos","2021.0","Not Rated","107.0","Mystery, Thriller","7.7","","George Sluizer","Bernard-Pierre Donnadieu, Gene Bervoets, Johanna ter Steege, Gwen Eckhaus","44,476","Rex and Saskia, a young couple in love, are on vacation. They stop at a busy service station and Saskia is abducted. After three years and no sign of Saskia, Rex begins receiving letters from the abductor.","182","WARNING!","STOP!!!!Observe these 3 rules if you plan on seeing this film:Rule #1, AVOID the 1993 remake ""The Vanishing"" or if you absolutely need to see it, watch the original first.Rule #2, If you're of a sensative nature and easily depressed, don't watch this.Rule #3, do NOT read any other comments on this film until you have seen it. This is a love it or hate it type of movie and looking for opinions to decide if you want to see this WILL ruin it for you. See it first, form your own opinion, then check back here. Trust me on this, you'll thank me afterwards.","https://m.media-amazon.com/images/M/MV5BNzczMWJlYTktMjJiZS00Y2ZjLTlhMWItMDg2NWFmZDY3YjdiXkEyXkFqcGdeQXVyNjUxMDQ0MTg@._V1_UX140_CR0,0,140,209_AL_.jpg"
"Skyfall","2021.0","UA","143.0","Action, Adventure, Thriller","7.8","81.0","Sam Mendes","Daniel Craig, Javier Bardem, Naomie Harris, Judi Dench","731,915","James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.","1,016","Bond is back","Some people thought Daniel Craig was too much like Bourne and the Bond style film had been abandoned. If you were worried about that fear not - Bond is back.The film has great stunts & thrills - you'll see this in the long opening sequence. Bond is not burdened with gadgets and still has lots of energy.Ignore the plot credibility (not as far fetched as some plots like Moonraker) and usual level of general film fiction where it comes to computing.All the characters are great, from the MI6 team members to the villain (Silva) who acts like a traditional Bond villain. It is very easy to provide details and reveal the plot - the way the trailer was edited means it has not given too much away.This film will provide thrills & you will laugh more than you did with Craig's last two films.Classic Bond is back and it was a joy to see it, if you are a Bond enthusiast there are lots of treats in store.","https://m.media-amazon.com/images/M/MV5BMWZiNjE2OWItMTkwNy00ZWQzLWI0NTgtMWE0NjNiYTljN2Q1XkEyXkFqcGdeQXVyNzAwMjYxMzA@._V1_UY209_CR0,0,140,209_AL_.jpg"
"Blue Velvet","2021.0","A","120.0","Crime, Drama, Mystery","7.7","75.0","David Lynch","Isabella Rossellini, Kyle MacLachlan, Dennis Hopper, Laura Dern","216,124","The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child.","679","A masterpiece","A very strange movie but incredible. A young man (Kyle MacLaclan) comes home to help care for his sick father. Soon he's in love with a detective's daughter (Laura Dern) and mixed up in a mystery involving Dorothy Valdes (Isabella Rossellinni) and psycho Frank Booth (Dennis Hopper).Probably David Lynch's best film. The story has gaps in logic, but it's secondary to some incredible wide screen imagery (this has to be seen letter-boxed...no two ways about it). Lynch has said in interviews that he thinks of the image first then works it into the movie. You can tell...things that make no sense at first gradually make sense later on. This movie also demands multiple viewings...I was so shocked the first time I saw it, I couldn't concentrate on it...it took THREE viewings to finally get it. As to what the movie is about...it depends who you ask. Some people said it's the Hardy Boys on drugs...others say it's about a boy's sexual awakening...others see it as good vs. evil...each one is a valid statement! To me, that's a true art film...one that means multiple things all at once.The performances are top-notch. This film made MacLachlan...him and Laura Dern work well together and give nice low-key performances. Dern is just great...but she does look pretty silly when she tries to cry. Rossellinni is nowhere near as good as her mother (Ingrid Bergman) was, but she deserves credit for taking such a risky role. She's pretty good. Hopper is WAYYYYYYY over the top as Booth...he's both horrifying and hilarious...a great performance. And let's not forget Dean Stockwell as ""suave Ben"". His ""performance"" of ""In Dreams"" is a definite highlight.Be warned--the film is very extreme. There's explicit violence, plenty of nudity, sex and tons of profanity. Not for the squeamish. Still, I loved it from beginning to end. One of my favorite films of all time.","https://m.media-amazon.com/images/M/MV5BMzExOTczNTgtN2Q1Yy00MmI1LWE0NjgtNmIwMzdmZGNlODU1XkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_UY209_CR1,0,140,209_AL_.jpg"
"Tron: Legacy","2021.0","U","125.0","Action, Adventure, Sci-Fi","6.8","49.0","Joseph Kosinski","Jeff Bridges, Garrett Hedlund, Olivia Wilde, Bruce Boxleitner","356,334","The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world.","634","I've been waiting 28 years for that....","And it was worth it.I was 9 years old when I saw TRON in a dingy cinema in Fareham, I was hooked then, and I always dreamed they would make a sequel.I was seriously worried though, I mean, Escape from New York was another of my favourite movies and I got all excited about the sequel to that... and left the cinema mortified...Not this time.This was like an old friend coming home.There are a lot of comments about this movie having a poor story, personally, I disagree. It was a father and son story, any more on top of the other sub plots going on would have been too much.It's a hell of an experience for the sences... when those Recognizers flew overhead the cinema shook... immersive, entertaining... everything a good movie should be.Roll on Number 3.","https://m.media-amazon.com/images/M/MV5BMTk4NTk4MTk1OF5BMl5BanBnXkFtZTcwNTE2MDIwNA@@._V1_UY209_CR0,0,140,209_AL_.jpg"
"Sweet Dreams","2021.0","","95.0","Comedy, Drama, Sport","5.4","","Lije Sarki","Kate Upton, Jay Mohr, Bobby Lee, Gata","755","Follows Morris, who must coach a misfit softball team of his fellow housemates during his mandatory stay at Sweet Dreams sober living in order to get his life back on track.","6","So close to good, but I was just left wanting it to deliver more","So close to good, but I was just left wanting it to deliver more.More stories on some of the characters, More Closure of some of the storylines - I just felt like the concept had more to deliver than what it gave us.There is a lot that's right about the movie. Great characters, good laughs, solid emotions, and i loved the way this felt like it wasn't all filmed on a sound stage/green screen. But it felt like there was more potential here. With great comedians like Bobby Lee and Theo Von in the cast, it felt like it had more laughs and emotions to pull on (and both are sober as well - so experience to draw on.) Kate Upton's character felt like there was more storyline available. There were a number of things where we got a taste of something but it didn't move/resolve/progress - the Diner scenes/story, Kate Upton's character, the music video situation, Garvey's roadtrip, what happened after the game, etc. There were just a bunch of questions that could have been answered and would have raised my enjoyment.It's thoroughly watchable, with some solid performances from a range of quality actors/personalities, and a decent smattering of laughter and emotion. There's nothing ""dumb"" about it or cliched - it just felt like it could have been 10 mins longer and given us a lot more, or 10 mins shorter and removed some storylines that didn't go anywhere.","https://m.media-amazon.com/images/M/MV5BYjIxZTBkMWQtNWRlOC00M2RkLWI4MDMtODk2OGM2NWJlNzY0XkEyXkFqcGdeQXVyMTE5NTM5NTU5._V1_UY209_CR8,0,140,209_AL_.jpg"
"X-Men: Dark Phoenix","2021.0","UA","113.0","Action, Adventure, Sci-Fi","5.7","43.0","Simon Kinberg","James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult","205,591","Jean Grey begins to develop incredible powers that corrupt and turn her into a Dark Phoenix, causing the X-Men to have to decide if her life is worth more than all of humanity.","1,817","The worst X-Men movie","I love X-Men, I watched every single one in the past 20 years multiple times and while I did enjoy some more than others, I never hated any film. I closed my eyes to small mistakes and forgave them anything. Not this time.Instead of going out strong and leaving a good impression after so many years, they did the exact opposite. The movie is distorted, rushed, predictable, flat and overall unimpressive. Everything looks cheap from the costumes to the decorations. The actors are uninterested in the movie and look like they just want to deliver their weak lines and get done as soon as possible. Nobody at Fox cared about this movie so why should we? I am sad for what was done to my beloved franchise.#moviesshmovies","https://m.media-amazon.com/images/M/MV5BMmZmYTgwZGItNDIxMS00MmRkLWEzODQtYTllNzM0ZWE1NmQ5XkEyXkFqcGdeQXVyODQzNTE3ODc@._V1_UY209_CR0,0,140,209_AL_.jpg"
"Busanhaeng","2021.0","A","118.0","Action, Horror, Thriller","7.6","73.0","Yeon Sang-ho","Gong Yoo, Jung Yu-mi, Ma Dong-seok, Kim Su-an","259,778","While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan.","891","best modern zombies movie","Hello,We can argue whether a zombies should be fast or not Ã¢ÂÂIn the movie, they are fast, deadly and mercilessÃÂ. It is more believable than those zombies can take over a city or a country within a day.The movie succeed where Fear The walking dead failed miserably, to explain how the pandemic starts and how it has been spread so fast.Most of the movie take place in a train, very claustrophobic place if you are chased by a herd of undead, but it worked for me, I felt the tension, the drama, the crazy survival instinct of ones and the resignation of the others.Walking dead made the zombie apocalypse almost cool, with guns and sex and love story, In train to busan nothing is cool, you do not have gun, your family and pretty much everyone you know are dead, there is no escape and nobody will come to save you ..I spent 2 marvelous hours watching a movie about zombies, I despite the fact I watched hundred movies about zombies, I have been surprised and scared.","https://m.media-amazon.com/images/M/MV5BMTkwOTQ4OTg0OV5BMl5BanBnXkFtZTgwMzQyOTM0OTE@._V1_UY209_CR0,0,140,209_AL_.jpg"
"My Cousin Vinny","2021.0","UA","120.0","Comedy, Crime","7.6","68.0","Jonathan Lynn","Joe Pesci, Marisa Tomei, Ralph Macchio, Mitchell Whitfield","140,943","Two New Yorkers accused of murder in rural Alabama while on their way back to college call in the help of one of their cousins, a loudmouth lawyer with no trial experience.","287","Brilliant Film!","My Cousin Vinny is one of the most brilliant comedies ever produced. There is simply so much to love about this movie.First, this is not simply a slapstick comedy. Sure, there is some of that, including a few hilarious moments in the Alabama mud. But the dialogue in this film is terrifically funny. The writers were able to turn a courtroom script into an incredibly funny exchange of dialogue between lawyers, judges and witnesses. And the whole idea of an out-of-work hairdresser knowing about Positraction is simply brilliant.This dialogue is brilliant because of excellent performances by both Marisa Tomei and Joe Pesci. These two sell this whole load of nonsense so beautifully it should be mandatory viewing for first-year drama students. These two actors show how talented people can read practically anything and make it not only funny but wholly believable.Even all the side characters, from the judge to the D.A. to the defendants to the jury and witnesses are brilliantly played. Some of the exchanges between a local Alabama judge and a NYC poser lawyer would be completely ridiculous in anyone else's hands, but these people make it so real and so funny it's truly a thing of beauty.This is one of those rare films that I can watch over and over again for hours and not tire of it.10 out of 10 Barky","https://m.media-amazon.com/images/M/MV5BMTQxNDYzMTg1M15BMl5BanBnXkFtZTgwNzk4MDgxMTE@._V1_UY209_CR0,0,140,209_AL_.jpg"
"Harry Potter and the Order of the Phoenix","2021.0","UA","138.0","Action, Adventure, Family","7.5","71.0","David Yates","Daniel Radcliffe, Emma Watson, Rupert Grint, Brendan Gleeson","634,437","With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.","767","A great movie, yet completely surpassed by the book","When I first walked into the movie, my expectations were not very high. The first two movies, I thought, were the best of the series mainly due to Richard Harris' dead-on portrayal of Dumbledore and screenplays that closely followed the original books. Though the third and fourth movies were very artistic and dramatic, I couldn't really connect to them in the way i had with the books. They glossed over many of the little things that made the Harry Potter series so magical in the first place, focusing on a select few plot lines and limiting dialog to only what was necessary to further the story. As a result they've felt more like a collage of scenes, a series of puzzle pieces, thrown at the viewers faster than they can piece together, just leading up to a final confrontation. Pacing has certainly been an issue, leaving fans feeling disjointed, and those new to the series confused as to what exactly is going on. In this respect, Order of the Phoenix was very similar to the previous two movies. As a Hollywood film, it deserves praise, bringing this amazing world to the big screen, telling a compelling tale, and keeping the viewers glued to their seats for the duration of the movie. However, to the die hard fans of the books, you will undoubtedly be disappointed. Many scenes that one would think invaluable to the story have been cut, replaced by the hasty filling in of plot holes. And while it pains me to ignore some of my favorite scenes from the book being left on the cutting room floor (St. Mungo's, Harry's Quibbler interview, the Quidditch fight, etc.), I realize that yes, not everything could be included in the movie. But in this watered down version of the book, there seems to be something missing. We still have all the drama and excitement, but some of the magic just seems to be gone. Aside from Evanna (couldn't have made a more perfect Luna), the kids give simply average performances, never really reaching the full potential put forth by JK Rowling's writing. The same goes for Gambon, who seems to have ignored the calm, all knowing, endearing idea of who Dumbledore is, in favor of a more erratic yet powerful headmaster. Sure, this works well in the more dramatic scenes (specifically the final battle), but otherwise, his performance falls flat, lacking the eye twinkling charm we came to love from the late Richard Harris. Thankfully, Imelda Staunton more than makes up for this in an amazing portrayal of Dolores Umbridge, one of the more fully realized characters of the movie. As for the rest of the cast, it's largely hit or miss, determined by how each scene is written. Overall, I would certainly recommend the movie for everyone, fan or not, as it really was a well made movie, despite a few wooden actors and some bad dialog. But when looking at the books, one really can't help but think how much more potential this movie could've had.","https://m.media-amazon.com/images/M/MV5BOTA3MmRmZDgtOWU1Ny00ZDc5LWFkN2YtNzNlY2UxZmY0N2IyXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX140_CR0,0,140,209_AL_.jpg"
