"Title","Year","Certificate","Duration","Genre","Rating","Metascore","Director","Cast","Votes","Description","Review_Count","Review_Title","Review","Poster"
"Superfast!","2009.0","PG-13","99.0","Action, Comedy, Crime","4.1","","Jason Friedberg","Aaron Seltzer, Alex Ashbaugh, Dale Pavinski, Lili Mirojnick, Andrea Navedo","10,842","A spoof onThe Fast and the Furious(2001) and the following F&F movies. An undercover cop joins a gang of criminal street racers to get close to the LA crime kingpin.","58","Went in with no expectations and was still disappointed.","I try to give Friedberg and Seltzer the benefit of the doubt. I'm a sucker for a good spoof movie and these guys HAVE put out some good ones in the past. I got enjoyment from the first four Scary Movies. Yes, even 4 had its moments. By this point though it's obvious that the duo of filmmakers are just beating a dead horse. They played their hand and have nothing left to show - Superfast! is just another nail in their already-laid-out coffin.Against my better judgement I've seen almost every spoof these guys have done. If you know anything about the directors then you should know what you're getting yourself into with this movie. I had no expectations, and the movie still managed to disappoint. It's certainly not the worst movie they've done - it's a step up from the utter sh*tpile known as The Starving Games and certainly more watchable than Disaster Movie, Vampires Suck, and Meet the Spartans. The problem is that this movie had potential. It really did. Superfast! acts as a spoof not only of the Fast & Furious franchise but of action movie clichÃÂ©s in general. The jokes that can come from that are endless, and the beginning of the movie gave a few chuckles and showed a hint of promise. But as the movie goes on it becomes more and more clear that these spoofers think toilet jokes and cheap gross-out gags are funnier than genuine satire.I'll give credit where credit is due: The casting in this movie was good. Especially the Vin Diesel caricature and the cartel kingpin. It looked like the actors were having fun and doing the best they could do with the material they had. It's unfortunate that their talents were wasted here because they definitely have a sense of good comedic timing and decent acting chops in general. That's about as far as the positives go. The awkward ""humor"" is just cringeworthy and uncomfortable. The toilet humor got old decades ago. A good amount of these jokes wouldn't go by well in an Elementary School let alone on the big screen. Superfast! is filled to the brim with moments that leave you thinking, who in the hell thought that was funny? Who thought making this film would be a good idea? And most importantly, why are these talentless hacks still making movies?","https://m.media-amazon.com/images/M/MV5BNjM3MjQxNjkxM15BMl5BanBnXkFtZTgwMDIyMTA0NDE@._V1_UY209_CR0,0,140,209_AL_.jpg"
"Babylon A.D.","2009.0","UA","90.0","Action, Adventure, Sci-Fi","5.5","26.0","Mathieu Kassovitz","Vin Diesel, Michelle Yeoh, MÃÂ©lanie Thierry, GÃÂ©rard Depardieu","98,516","Veteran-turned-mercenary Toorop takes the high-risk job of escorting a woman from Russia to America. Little does he know that she is host to an organism that a cult wants to harvest in order to produce a genetically modified Messiah.","163","A mess","I like Vin Diesel. Even if he is not flavour of the month anymore, if he ever was, I make no apologies for that statement. I have a story I would like to share.In 2002, after the release of ""Pitch Black"" and ""xXx"", and even though I was possibly too old to indulge in such childishness, I wrote Vin a fan letter. I expressed my admiration for his work and politely requested an autograph on a magazine, featuring Vin on the cover, that I had enclosed with a stamped addressed envelope. A month later the magazine arrived back and it had been autographed.I have no idea if the autograph is genuine. It may well have been signed by Vin Diesel, or maybe it was just signed by somebody in Vin Diesel's office. I will never know. Do you know what? I don't care. Somebody went to the effort to send that autograph to me for that I think that Vin is sound, is cool and I give him much respect.I just wish that Vin appeared in better movies. This brings us to ""Babylon A.D."".Good things. The presentation of the near future world in ""Babylon A.D."" is beautifully done. Compare and contrast the difference between the collapsing, grunge-like, shabby Eastern Bloc, with the hi-tech, neon lit New York. Very well put together. ""Babylon A.D."" also has a really intriguing cast (Charlotte Rampling, Mark Strong, Michelle Yeoh, GÃÂ©rard Depardieu), some good action sequences and an interesting, if derivative, plot.Bad things. ""Babylon A.D."" is a mess. There is evidence of extensive tampering with and shortening of the movie in the editing suite. (I read one rumour that 70 minutes had been cut from the movie, although the Director claims that this was more like 15 minutes.) The ending is absolutely awful and apparently not the one that the Director intended.Director Mathieu Kassovitz has mostly disowned ""Babylon A.D."", calling it a movie of 'pure violence and stupidity'. There is nothing wrong with cinematic 'pure violence and stupidity' as such, but I for one would like to have seen Mathieu Kassovitz's original vision. It could have been great.Such a shame. I have always felt that Vin Diesel could have been the new Stallone, but bad choices have turned him into new Van Damme.Still, ""Babylon A.D."" is currently the #2 film at the US Box Office, so what do I know?","https://m.media-amazon.com/images/M/MV5BNGYyZjk2ZjMtNDgzOS00OTY5LTg1MzktNzRiOTNkNzMxNGQ4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX140_CR0,0,140,209_AL_.jpg"
"Vacation Friends 2","2009.0","R","106.0","Action, Adventure, Comedy","5.3","38.0","Clay Tarver","Lil Rel Howery, Yvonne Orji, John Cena, Meredith Hagner","8,330","A couple who meets up with another couple while on vacation in Mexico sees their friendship take an awkward turn when they get back home.","32","Not even close to as good as the first one.","The first Vacation Friends was a surprisingly hilarious fun blast full of actual laugh out loud moments, and I had rated that one an 8/10. So considering it's the same director, writers and cast, I expected it to be pretty close to as good as the first one, but wow what a let down this was.The story was cliched, predictable, sappy, convoluted nonsense, and it was all over the place. The directing was sub par and underwhelming. And as much as Cena tried his best with the terrible material he had this time around, even he nor the addition of Steve Buscemi couldn't save this mess. Unlike the first film, there were zero actual laugh out loud moments, there were barely any smiles, but mostly eyerolls and cringe at pretty much every funny part being a huge miss and mostly infantile humor. As much as I'm a fan of Cena and Buscemi, I just can't recommend wasting 105 minutes watching this mess just to see them.","https://m.media-amazon.com/images/M/MV5BNjU1ZWM4M2ItM2RkYi00ZGJkLWE3YjQtMzIzM2ZlMzRiNWY4XkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_UY209_CR0,0,140,209_AL_.jpg"
"The White Tiger","2009.0","16","125.0","Crime, Drama","7.1","76.0","Ramin Bahrani","Adarsh Gourav, Rajkummar Rao, Priyanka Chopra Jonas, Vedant Sinha","65,602","An ambitious Indian driver uses his wit and cunning to escape from poverty and rise to the top. An epic journey based on the New York Times bestseller.","624","An Indian story made for a western audience","The White Tiger belongs to the class of cinema which is being told by a breed of not-so-Indian storytellers who seems to understand Indian problems. Sometimes they miss and sometimes they hit bullseye. This film is somewhere in between. If you go by the story, then you know this film is quintessentially Indian telling the story in a way so as to engage the western audience also. And by doing so, it somehow abandons that Indian audience. As an indian, there are far more superior quality cinema already made (most of them in regional cinemas) who tackles this subject with not just more sincerity but also with a heart. This film is often fails to do so and seems soulless. But having said that unfortunately AND fortunately this film will get a greater acceptance in the west because it presents the story in a way the West understands the problem. For instance, a small trivial detail might not matter to a western audience but the fact that the Stork even with his vast wealth and cultural superiority complex decides to travel in a sleeper class (or could easily be just General Class) of a train can and will erk an Indian audience. But for a Westerner that is just an exotic scene describing ""how Indians travel"". Same applies to the caste divide. For some foreigner the fact that one character is upper caste and the other is lower caste is enough for them to (have the illusion that they) understand India's vast cultural divide. But for an Indian that's just gross simplification.As I said these are just trivial details but they explain so much more about the intent of the makers. Maybe it was a conscious decision but as an Indian that's just mediocre cinema.","https://m.media-amazon.com/images/M/MV5BMDVkMDRkMzItN2EyYS00ZTI5LTljYzgtNzRmZDQ0OTQ3M2VjXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UY209_CR0,0,140,209_AL_.jpg"
"Alexis Zorbas","2009.0","","142.0","Comedy, Drama","7.6","","Michael Cacoyannis","Anthony Quinn, Alan Bates, Irene Papas, Lila Kedrova","24,138","An uptight English writer travelling to Crete, on a matter of business, finds his life changed forever when he meets the gregarious Alexis Zorba.","78","A joyous affirmation of life","OK, I admit I've seen this movie a dozen times. But it never fails to inspire. Was there ever a man who lived life as fully as Alexis Zorba? Was there ever a character who understood so much about living and dying, women and men? Zorba ripping a piece of lamb from the spit and biting into it with joy and verve, dancing in pain or dancing from joy, expressing his wonderment at the sight of a dolphin, gives this character a special place in movie history.If the rich storytelling and great Quinn performance were not enough, we get the young Alan Bates in a fine part doing a fine piece of acting, and the extraordinary pair of performances by Lila Kedrova and, especially, Irene Pappas, who need not speak a word to convey an entire menu of emotions.The final scenes are among the best in movies. The music is among the best. Indeed, the MOVIE is among the best.A GREAT movie.","https://m.media-amazon.com/images/M/MV5BYTU2OWY4MzAtN2MwZS00N2MxLWFjOGEtODgxYTdkYmQ1MmFiXkEyXkFqcGdeQXVyMjA0MzYwMDY@._V1_UX140_CR0,0,140,209_AL_.jpg"
"Rendez-Vous","2023.0","","100.0","Drama, Romance","5.6","","Antoinette Beumer","Loes Haverkort, Mark van Eeuwen, Evi van der Laken, Bobby van Vleuten","2,267","She had a dream and achieving it didn't seem that difficult. Or so she thought.","15","Gripping and extremely well acted","Very enjoyable and engaging. The acting is flawless and it doesn't hurt that the protagonists are easy on the eyes. The scenes are rich in details and well paced. All kinds of tensions flow through and the movie induces you to feel for various characters. Local color is expertly sprinkled in and is its own force in the story. It's very smart in how it blends cotidian anxieties in the course of life and life's projects with unexpected volcanos of emotion and the terrifying roller coaster ride of it all.","https://m.media-amazon.com/images/M/MV5BNjM1MzA3NDcwOF5BMl5BanBnXkFtZTgwNTczMjQwNTE@._V1_UY209_CR3,0,140,209_AL_.jpg"
"The Barbarians","2023.0","","87.0","Action, Adventure, Fantasy","5.0","","Ruggero Deodato","David Paul, Peter Paul, Richard Lynch, Eva LaRue","5,091","Two twin barbarians seek revenge from the warlord who massacred their tribe and captured them when they were small children.","53","Looking back at filming The Barbarians twenty years later...","I was China in this film. I choose the screen name Sheeba Alahani because I was modeling at the time in Italy and they couldn't pronounce my real name correctly, so I choose Sheeba and then added Alahani since it was similar to Alohalani.I had never acted before (and it shows), but it was so much fun to film. They gave me ""acting lessons"" each morning (which obviously were not useful). They dubbed my voice (thank goodness).David and Peter were a blast on the set, full of good humor and jokes. This film was never meant to be taken seriously, it was a tax write off according to inside information. I give it a 1 because I have a sense of humor, but a 10 for the fun I had ""acting"" in it.","https://m.media-amazon.com/images/M/MV5BMGE0YTQwNDAtNTUxZC00ZjYxLWFjOTItNmIyZGQ5ZGI3NGIwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX140_CR0,0,140,209_AL_.jpg"
"The Present","2023.0","","86.0","Comedy","","","Christian Ditter","Isla Fisher, Ryan Guzman, Greg Kinnear, Amir Talai","","A brilliant boy discovers that he can manipulate time using a family heirloom. He soon team up his siblings in returning to the time of their parents' separation from their in hopes of changing the outcome.","0","","","https://m.media-amazon.com/images/M/MV5BMmEzZTY0MTgtZTU4ZS00OTJiLWE5ZmMtNWE0YTQ2NjE5MTBiXkEyXkFqcGdeQXVyMTYyNTQwMDM4._V1_UX140_CR0,0,140,209_AL_.jpg"
"The Mortuary Collection","2023.0","","108.0","Fantasy, Horror","6.4","69.0","Ryan Spindell","Tristan Byon, Eden Campbell, Hannah R. Loyd, Clancy Brown","14,602","An eccentric mortician recounts several macabre and phantasmagorical tales that he's encountered in his distinguished career.","124","Bad","This movie was not scary, nor clever, and a waste of time. To me, many of these reviews are probably planted by the creators of this movie and possibly Shudder as well. If you want to be incredibly bored for about two hours, go ahead and watch. Otherwise, watch something else on Netflix. Maybe watch it again.","https://m.media-amazon.com/images/M/MV5BOTJkNGZkYjEtNDdjMy00NDYxLWE1MDYtNTgyMWNhOWRhZTBkXkEyXkFqcGdeQXVyNDc0MzY5MTk@._V1_UX140_CR0,0,140,209_AL_.jpg"
"Breathe In","2023.0","R","98.0","Drama, Romance","6.3","60.0","Drake Doremus","Felicity Jones, Guy Pearce, Mackenzie Davis, Amy Ryan","15,652","When a foreign exchange student arrives in a small upstate New York town, she challenges the dynamics of her host family's relationships and alters their lives forever.","48","Delicate and refreshing take on a tired subject","Unhappily married man falls for beautiful woman half his age whom he believes will free him from his imaginary prison: this plot has been done so many times, very rarely with any creativity or passion, and so Drake Doremus' latest addition to the anthology, Breathe In, doesn't inspire much excitement at first glance. But Doremus successfully sidesteps the staple clichÃÂ©s of the infidelity drama and has crafted an oddly delicate, taut, and surgical film that captivates and succeeds in spite of a few minor plot conveniences. Keith Reynolds (Guy Pearce) is an ex-guitarist whose passions and hobbies have been stifled in favor of a suffocating teaching job and a quiet home life in a New York suburb with wife Megan (Amy Ryan) and daughter Lauren (Mackenzie Davis, a real find). During Lauren's senior year of high school, the family hosts pleasant but guarded exchange student Sophie (Felicity Jones), whose presence chips away at an evidently already fragile marriage and Keith's resentfully upheld responsibilities. Doremus' breakthrough picture Like Crazy (also starring Jones) drew its fair share of detractors for its unconvincing plot developments and shockingly naive characters. He still doesn't have a complete handle on how to let plots develop organically, and Keith and Sophie are destructive and weak-willed if not naive, but Doremus is clearly growing as a writer: the bumps are less jarring, the characters more understandable. Breathe In is expertly precise and poetically delicate: sensational arguments and wild sex scenes are excluded in favor of subtle tremors in relationship dynamics and a tentative, genuine mental connection between the two leads. A plot line that lends itself easily to melodrama is instead executed with restraint and grace: Keith and Sophie don't even kiss until over an hour into the film and instead grow closer through fleeting glances, shared passions, mutual desires to break free, and support and curiosity that neither have received from another person in a very long time. Refreshingly, for once, it's not at all about sex - it is sensual, but the leads connect on a profound, intimate level rather than a physical one and, strangely enough, there are times when you can't help but want them to be together. Pearce gives his best performance in years here as vulnerable and secretly needy Keith; he perfectly captures the crushing regret and childish idealism of a midlife crisis, and his slow unraveling at Sophie's touch is beautiful to watch. Jones, for the third year in a row, deserves some serious attention for her work here - Sophie is a stereotypical faux-intellectual, confident she sees all and knows all, and Jones retains that adolescent conceit while imbuing her with a deep, affecting loneliness and pain and a quiet but steely veneer masking it from the world. It's less showy, but more intricate and adult than her work in Like Crazy. Mackenzie Davis' first major movie role is pretty demanding and full of pitfalls, yet she creates the most sympathetic character in the film. Amy Ryan unfortunately isn't given much to do, and occasionally her character feels uncomfortable villainized, but she gives Jones a look at the end of the film that says much more than a 10- minute screaming scene ever could and confirms that she is one of the most insightful and communicative actresses around. There's not much dialogue in the film, and most of it is layered with subtext rather than explicitly revealing, so a great deal of responsibility falls on the cast's shoulders, and they more than carry their weight. Critics of Like Crazy probably won't be won over by Breathe In as in terms of direction, style and writing it follows many of the same formulas - a simple piano score, natural and unaffected cinematography, many close-ups and scenes where nothing at all is communicated verbally. The characters are less likable this time, and while they are more fleshed out and therefore easier to relate to, it's difficult to find someone to root for. But Doremus is maturing: there's less reliance on plot contrivances to move the story along, and instead he lets the tiny fissures, the soundless sensuality, and the growing tension drive the film to its explosive and agonizing finale. There is some great character- and dynamic-building here, and once Doremus has a better grasp of storytelling, he will really be a force to be reckoned with.","https://m.media-amazon.com/images/M/MV5BMTgwNzY4MDYyN15BMl5BanBnXkFtZTgwODExMjgwMTE@._V1_UY209_CR2,0,140,209_AL_.jpg"
