Title,Year_x,Certificate,Duration,Genre_x,Rating,Metascore_x,Director_x,Cast,Votes,Description,Review Count,Review Title,Review,Poster,Year_y,Rated,Genre_y,Runtime,Plot,Actors,Metascore_y,Director_y,imdbRating,imdbVotes,Awards,Country,Language,BoxOffice
The Ides of March,2021.0,A,101.0,"Drama, Thriller",7.1,67.0,George Clooney,"Paul Giamatti, George Clooney, Philip Seymour Hoffman, Ryan Gosling","231,033",An idealistic staffer for a new presidential candidate gets a crash course on dirty politics during his stint on the campaign trail.,250,"Solid, realistic political melodrama - not a thriller","The Ides of March isn't a story just about the back-alley dealings of those seeking to gain power; it's a morality tale of how much one must wrestle between doing things because he feels they are the right thing to do and doing things that will serve themselves better in the long run. It is a political melodrama, but it just as easily have been written about business and high finance. It's highly cynical, with its points driven home by a terrific cast, and yet it manages not to be heavy handed or preachy. Indeed, there aren't really any strictly good or bad guys in this movie.Ryan Gosling stars as Steven Myers, a top aide to Governor Mike Morris (George Clooney), who is running for president; currently at stake is the battleground state of Ohio. If Morris can gain Ohio's delegates, he's pretty much assured to get the Democratic nomination, and in the film it's noted that the Republicans have a weak field themselves (at best). All of this means, of course, that as Ohio goes, so goes the presidency, so there's plenty riding on this one primary.Morris' campaign manager is Paul Zara, played by Philip Seymour Hoffman, a veteran of many cutthroat campaigns. And although Zara has the experience, Morris often turns to his young(ish) aide Steven to gain a less-jaded, more-truthful perspective. (Of course, by doing so, Morris is simply trying to hear from someone who may not be thinking four years or fewer down the road at his next job.) Like most staffers, Steven believes in Morris; he thinks that if the man is elected president, good things will happen. He is the prototypical idealistic aide; doing the right thing will win out over all, he believes. He's not completely naive to backdoor politics, but his organization, his analysis, his acumen, and his spirit are what endear Morris to him.Even though Steven is not a Mr. Perfect, a self-righteous do-gooder, he's savvy; he knows which buttons to push. He learns, though, that his chief obstacle to success is in recognizing whom is trustworthy, and just because one is friends with another doesn't mean that either owes the other much when it comes to the game of politics. For example, simply feeding the press (in the person of Marisa Tomei) the occasional tidbit doesn't mean that the media will be an extended PR arm for Morris.Somewhere along the line, Steven reaches a breaking point, a place at which loyalty isn't the most important thing on his plate. This point comes as a result of two pretty bad decisions, one that he knows is a bad idea right away and another that seems a little more innocent Ã¢ÂÂ but then Steven has underestimated how petty, parochial, and vindictive those in the business can be. It's all about one's level of paranoia. You have to have some in order to foresee problems, but too much of it will hollow out your soul in a jiffy.Clooney, who also directed, looks and sounds presidential, but he's not the focus of the movie; as with his brilliant Good Night, and Good Luck, he's a powerful supporting character. Things don't revolve around Mike Morris as they do around Steven Myers, and that's one reason the movie works Ã¢ÂÂ our focus is on the morality battle, and it's presumed that as a sitting governor, that battle's long been over for Morris.The hand-picked cast is superb. Not only do we get Clooney, Hoffman, Tomei, and Gosling, we also get Paul Giamatti as the governor's opponent's campaign manager. Each one seems to steal scenes, even ones they share. Even Evan Rachel Wood, as a new intern in Morris' camp, turns in a splendid performance.It's clear that The Ides of March won't be for everyone. It is, as I said, cynical Ã¢ÂÂ highly so. It won't leave you hopeful about, well, anything. It gives you no one for whom to really cheer and yet no one for whom to really despise. It offers realism in lieu of hope, and its goal of trying to explain the motivations of those who get involved in these campaigns is reached. It's an effective, gripping melodrama.","https://m.media-amazon.com/images/M/MV5BNTU4MjkzNTY0OF5BMl5BanBnXkFtZTcwNDI5ODIxNg@@._V1_UY209_CR0,0,140,209_AL_.jpg",2011,R,"Drama, Thriller",101 min,An idealistic staffer for a new presidential candidate gets a crash course on dirty politics during his stint on the campaign trail.,"Paul Giamatti, George Clooney, Philip Seymour Hoffman",67,George Clooney,7.1,"232,644",Nominated for 1 Oscar. 9 wins & 36 nominations total,United States,English,"$40,962,534"
What Happened to Monday,2021.0,A,123.0,"Action, Crime, Fantasy",6.8,47.0,Tommy Wirkola,"Noomi Rapace, Glenn Close, Willem Dafoe, Marwan Kenzari","134,778","In a world where families are limited to one child due to overpopulation, a set of identical septuplets must avoid being put to a long sleep by the government and dangerous infighting while investigating the disappearance of one of their own.",493,"Ask yourself, what am I expecting from this (or any) experience?","I honestly don't understand the bad reviews behind this film. I'm writing this, not as a review of the events or themes that take place; but rather, a questioning of expectations from the average film viewer. It should be fairly obvious that to enjoy any motion picture, one must enable their sense of disbelief. This means when you watch a fantasy film or show you don't question the reality of wands, spells, dragons, etc. Instead, you allow yourself to be immersed within the story. After all, the entire point of art is to transport yourself within the world of the artist. I take issue with criticism from professional critics to the average person on the basis of ""realism,"" ""continuity,"" and/or any other tropes related to the experience of (in this case film), art.This movie uses certain themes that have a major impact in the possible near future as its basis for storytelling, and therefore, I can see why some might attempt to hold the themes as a basis to grade its merits. I must contest this though as I would say you don't read an Asimov, Clarke, Dick, novel and complain that your predictions of the future aren't the same as the author's do you? While watching this I'm reminded of my experience of watching ""Minority Report"" and it's safe to say that that version of the future hasn't come close to existing yet, but nonetheless it's a masterful bit of storytelling. The point though is this, sure there are holes in almost any plot, especially in films that don't coincide with our present day notions of reality; but what has that to do with our ability to enjoy a film?Be honest with yourself for a moment, when you're watching anything but a documentary (and even then..) you're primary concern is the entertainment value. To which, this film delivers in spades. There's great drama, great action, great acting, and one person playing 7 roles. What more could you ask for? Anyone who denigrates this film, I have to know, what are your expectations, and what are your favorite films? 8/18/17 23:38","https://m.media-amazon.com/images/M/MV5BMjE4MDQxMDg3MF5BMl5BanBnXkFtZTgwNjQ0MTcwMzI@._V1_UY209_CR0,0,140,209_AL_.jpg",2017,TV-MA,"Action, Crime, Fantasy",123 min,"In a world where families are limited to one child due to overpopulation, a set of identical septuplets must avoid being put to a long sleep by the government and dangerous infighting while investigating the disappearance of one o...","Noomi Rapace, Glenn Close, Willem Dafoe",47,Tommy Wirkola,6.8,"136,658",1 nomination,"United Kingdom, France, United States, Belgium",English,N/A
Haunted Mansion,2021.0,PG-13,123.0,"Comedy, Drama, Family",6.0,47.0,Justin Simien,"LaKeith Stanfield, Rosario Dawson, Owen Wilson, Tiffany Haddish","43,039","A single mom named Gabbie hires a tour guide, a psychic, a priest and a historian to help exorcise her newly bought mansion after discovering it is inhabited by ghosts.",318,I couldn't wait to leave the theater,"I was surprised to see that Disney's Haunted Mansion is rated PG-13. I thought maybe they're trying to make a new Pirates of the Caribbean, a series I love (mostly). So I gave it a chance. That was a mistake.This movie is not funny. It made me laugh about 4 times. This movie is not scary. I never felt creeped out. I never jumped at any of the numerous poor jump-scare attempts, even in Dolby Cinema where the speakers shake the auditorium. Very little works and there are some extra-cheesy moments.It's a shame, this could have been fun. I like most of the cast. LaKeith Stanfield gives a great performance. There are a few cool scenes and visuals. But I just didn't care. I was not at all invested in the story or characters. And I just wanted it to be over.Maybe it's just me. My crowd applauded when it finished. I can see children liking this, maybe something a family can watch together. I personally wouldn't recommend this to anyone. Just watch Pirates again instead.(1 viewing, early fan screening Dolby Cinema 7/26/2023)","https://m.media-amazon.com/images/M/MV5BNTlmZmFkYTEtMDM4NS00NTgzLWFhODEtZjMxOTlmN2QxZTdiXkEyXkFqcGdeQXVyMTMzOTQyOTk1._V1_UY209_CR0,0,140,209_AL_.jpg",2023,PG-13,"Comedy, Drama, Family",123 min,"A single mom named Gabbie hires a tour guide, a psychic, a priest and a historian to help exorcise her newly bought mansion after discovering it is inhabited by ghosts.","LaKeith Stanfield, Rosario Dawson, Owen Wilson",N/A,Justin Simien,6.0,"44,851",7 nominations,"United States, Canada","English, French, Spanish","$67,653,287"
Demolition Man,2021.0,A,115.0,"Action, Sci-Fi, Thriller",6.7,34.0,Marco Brambilla,"Sylvester Stallone, Wesley Snipes, Sandra Bullock, Nigel Hawthorne","193,725",A police officer is brought out of suspended animation in prison to pursue an old ultra-violent nemesis who is loose in a non-violent future society.,287,The Stallone movie ever,"I thought it was one of the greatest movies of all time. As a social commentary, it's extraordinarily on-target. I mean, come on, this is the movie where the joke was made that Schwarzenegger would be president and Taco Bell would win the franchise wars, and what do you know? Now people want the constitution amended so Arnold can run for president and Taco Bell is winning the franchise wars (they merged with Pizza Hut and KFC).The story parallels Brave New World and there are numerous references to it. It's the best ""Big Brother"" film to ever be made. It's got great laughs, great action, and just great stuff. The basic plot is pretty mediocre when you get right down to it, but when you factor in all the detail and the very well-thought script, it's a must-see movie. It's like the anti-movie, it's great, but nobody likes it, apparently.","https://m.media-amazon.com/images/M/MV5BMDBmNDhjOTYtZWVlMC00YzUwLWIyZjEtYzFjMWM5OTdiZDJkXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UX140_CR0,0,140,209_AL_.jpg",1993,R,"Action, Sci-Fi, Thriller",115 min,A police officer is brought out of suspended animation in prison to pursue an old ultra-violent nemesis who is loose in a non-violent future society.,"Sylvester Stallone, Wesley Snipes, Sandra Bullock",34,Marco Brambilla,6.7,"196,455",1 win & 7 nominations,United States,English,"$58,055,768"
Brightburn,2021.0,A,90.0,"Drama, Horror, Mystery",6.1,44.0,David Yarovesky,"Elizabeth Banks, David Denman, Jackson A. Dunn, Abraham Clinkscales","108,055","What if a child from another world crash-landed on Earth, but instead of becoming a hero to mankind, he proved to be something far more sinister?","1,027",Interesting concept hurt by poor execution,"This felt like a stripped down, summarized version of this story. No time is really invested into characters, so you don't really feel anything for them. The concept, while fascinating, is never fully explored. The actors all do their best though and are solid throughout. The film is also surprisingly gore-filled and there were some genuinely queasy moments. Everything just chugs along at a breakneck pace and it plays out as you'd expect. There was an opportunity to take a lot of chances with this story, but it decides to settle for being a mildly entertaining flick.","https://m.media-amazon.com/images/M/MV5BMjc0YzM2ZjItNzE3OS00NTRhLTkyNTUtMjY5Y2Y5NTU3OWI0XkEyXkFqcGdeQXVyNjU2NTI4MjE@._V1_UY209_CR0,0,140,209_AL_.jpg",2019,R,"Drama, Horror, Mystery",90 min,"What if a child from another world crash-landed on Earth, but instead of becoming a hero to mankind, he proved to be something far more sinister?","Elizabeth Banks, David Denman, Jackson A. Dunn",44,David Yarovesky,6.1,"110,483",1 win & 2 nominations,United States,English,"$17,300,439"
The Descendants,2021.0,A,115.0,"Comedy, Drama",7.3,84.0,Alexander Payne,"George Clooney, Shailene Woodley, Amara Miller, Nick Krause","252,040",A land baron tries to reconnect with his two daughters after his wife is seriously injured in a boating accident.,375,Was honestly expecting more,"This is a great movie, no doubt about it. But given the combination of golden globe, Oscar buzz and positive feedback on IMDb, I expected much more.The story and the premise of the movie is perfect. In fact, the tagline caught my attention enormously: ""trying to reconnect with daughters."" That is exactly the type of movie I like. Instantly, I could tell this was a movie about character development and human connection, usually the type of movies with the greatest potential.Unfortunately, it was merely decent, but not special. It felt like the movie built up so much potential, but failed to release it at a certain point during the movie. The whole movie, for me, felt too introductory in nature. Not necessarily the plot, because the plot does evolve, but the overall ""feel"" of the movie felt preliminary to a bigger and more dramatic event which never happened.It's not easy to explain my feelings towards the movie because the fault wasn't necessarily technical or specific. But it did linger around and distracted my viewing somewhat. I felt like there was still more to explore in both Clooney's character and the character of his daughters. Also, I think this element alone impacted on Clooney's performance. His performance was good, definitely, but again, because I felt like there was more to be explored, naturally, I also felt like his performance could have been added to (but not necessarily improved).Given the Oscar buzz of this movie, I have to compare it to other movies of a similar nature. And unfortunately, I didn't feel like there was sufficient connection between the characters...although the potential to reach that connection was established, it was not acted upon in my opinion. Unfortunately I have to say there have been better developed ""re-establishing connection"" movies.In summary, this is an enjoyable movie, but it is missing some important elements which deteriorates the viewing experience to some extent.","https://m.media-amazon.com/images/M/MV5BMjAyNTA1MTcyN15BMl5BanBnXkFtZTcwNjEyODczNQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",2011,R,"Comedy, Drama",115 min,A land baron tries to reconnect with his two daughters after his wife is seriously injured in a boating accident.,"George Clooney, Shailene Woodley, Amara Miller",84,Alexander Payne,7.3,"253,972",Won 1 Oscar. 65 wins & 148 nominations total,United States,English,"$82,584,160"
Rope,2021.0,A,80.0,"Crime, Drama, Mystery",7.9,73.0,Alfred Hitchcock,"James Stewart, John Dall, Farley Granger, Dick Hogan","154,065",Two men try to convince themselves they've committed the perfect murder by hosting a dinner party after strangling a former classmate to death.,362,Brilliant! The most underrated of the Hitchcock/Stewart collaborations is still as fascinating and entertaining as ever.,"Alfred Hitchcock directed so many brilliant movies that the best known ones like 'Rear Window', 'Vertigo', 'Psycho' and 'The Birds' overshadow equally worthy films like 'Shadow Of A Doubt', 'Lifeboat' - insert your personal favourite here - and this one, 'Rope'. It was the first Hitchcock movie to feature James Stewart and it is easily the most underrated of the four movies they made together. I think Stewart was brave for taking this part, which was much darker than the usual characters associated with him, and it's difficult to imagine him being able to play Scottie in 'Vertigo' without having done this movie first. Stewart is excellent in the movie, but equally good are Farley Grainger (who subsequently starred in Hitchcock's 'Strangers On A Train') and John Dall as the thrill killers. Dall gives the best performance in the movie. I'm surprised that after making this and the Noir cult classic 'Gun Crazy' he isn't better known. The technical ""gimmick"" of 'Rope' is usually mentioned more than anything else about it (Hitchcock wanted one long continuous take, which wasn't possible at the time, but compromised by using several long ones, a very innovative approach at the time), but there is a lot more to it than just that. Considering the strict censorship of the period it was a daring look at homosexuality. The word is never used at any time in the script but a sophisticated audience would have no doubt what was really going on. I've only seen about a third of Hitchcock's output but every movie of his I watch or rewatch makes me marvel at him all the more. The greatest and most influential director of suspense movies was also one of the greatest directors of ANY genre ever. 'Rope' deserves to be mentioned in any list of his ten best movies. 55 years after it was originally released it is as fascinating and entertaining as ever. Highly recommended!","https://m.media-amazon.com/images/M/MV5BNGY4OTFlZTUtNDFjOC00NzM3LWI5ZjUtOWFkNTFhNzZhMmFkXkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_UX140_CR0,0,140,209_AL_.jpg",1948,Approved,"Crime, Drama, Mystery",80 min,Two men try to convince themselves they've committed the perfect murder by hosting a dinner party after strangling a former classmate to death.,"James Stewart, John Dall, Farley Granger",73,Alfred Hitchcock,7.9,"156,091",1 win & 3 nominations,United States,English,N/A
Belfast,2021.0,PG-13,98.0,"Biography, Drama, Romance",7.2,75.0,Kenneth Branagh,"Jude Hill, Lewis McAskie, CaitrÃÂ­ona Balfe, Jamie Dornan","92,746",A young boy and his working-class Belfast family experience the tumultuous late 1960s.,519,Love Is Just Around The Corner,"Writer-director Kenneth Branagh tells a semi-autobiographical story. Young Jude Hill is playing in the street outside his row house, when suddenly Protestant gangsters march through and smash every Catholic household's windows, rip up the paving stones, and drive everyone, Catholic and Protestant alike to refuge. Soon the British Army is setting up occupation of the street, as the neighbors help each other, and Hill's immense extended family, presided over by grandfather CiarÃÂ¡n Hinds and grandmother Judi Dench seem to take everything in stride. But there's family problems as well as religious ones.This movie reminded me of 2018's Roma, an important moment in history through the eyes of a boy filtered through the adult sensibilities of the film maker.... but without the extreme deep-focus camerawork that kept me wondering when we were going to start telling another story. Branagh gives us visual fireworks, with the attack on the street shown from young Hill's perspective, with a double-360-degrees panorama in slow motion.In the end, the story is less about flashy camerawork or the religio-political uproar of the times, but how a loving, committed, decent family gets on with life, raising children, earning a living, and loving each other. Most stories about love are about the big events, the flashy events. This one shows us the day-to-day of love while everyone else is worrying about the big events.","https://m.media-amazon.com/images/M/MV5BODMwYTYyY2ItOWQ5Yi00OTI1LTllYTQtYTdlNWM4YzJhYTM0XkEyXkFqcGdeQXVyMTA2MDU0NjM5._V1_UY209_CR0,0,140,209_AL_.jpg",2021,PG-13,"Biography, Drama, Romance",98 min,A young boy and his working-class Belfast family experience the tumultuous late 1960s.,"Jude Hill, Lewis McAskie, Caitríona Balfe",75,Kenneth Branagh,7.2,"94,844",Won 1 Oscar. 60 wins & 255 nominations total,United Kingdom,English,"$9,250,870"
Sabari,2021.0,UA,129.0,"Action, Drama, Family",8.2,,Anilkatz,"Varalaxmi Sarathkumar, Ganesh Venkatraman, Shashank Siddamsetty, Mime Gopi","2,031","A single mother battles her past demons to safeguard her child's future, facing daunting challenges to shield her daughter from imminent danger.",0,,,"https://m.media-amazon.com/images/M/MV5BOGI3NzE3NTUtZDAzNC00OTAwLTgyNDEtMGMxNzgwNDIxMGZlXkEyXkFqcGdeQXVyMTUzNTgzNzM0._V1_UY209_CR8,0,140,209_AL_.jpg",2024,N/A,"Action, Drama, Family",129 min,"A single mother battles her past demons to safeguard her child's future, facing daunting challenges to shield her daughter from imminent danger.","Varalaxmi Sarathkumar, Ganesh Venkatraman, Shashank Siddamsetty",N/A,Anilkatz,8.4,"2,109",N/A,India,"Malayalam, Hindi, Telugu, Tamil, Kannada",N/A
Blockers,2021.0,Not Rated,102.0,"Comedy, Drama",6.2,69.0,Kay Cannon,"Leslie Mann, John Cena, Ike Barinholtz, Kathryn Newton","86,148",Three parents try to stop their daughters from losing their virginity on prom night.,329,Speechless,"Blockers takes every possible annoying aspect in American comedy and amplify's it to the point of maximum uncomfortably, resulting in an almost 2 hour sluggish, unfunny, disappointing comedy that completely misses it's mark in both humor and heart.","https://m.media-amazon.com/images/M/MV5BMjE0ODIzNjkzMl5BMl5BanBnXkFtZTgwODQ3MzU4NDM@._V1_UX140_CR0,0,140,209_AL_.jpg",2018,R,"Comedy, Drama",102 min,Three parents try to stop their daughters from losing their virginity on prom night.,"Leslie Mann, John Cena, Ike Barinholtz",69,Kay Cannon,6.2,"87,597",1 win & 7 nominations,United States,English,"$60,311,495"
